date,k18,k21,k22,traditional
2023-09-18,7100,8285,8680,5920
2023-09-17,7100,8285,8680,5920
2023-09-16,7100,8285,8680,5920
2023-09-15,7100,8285,8680,5920
2023-09-14,7100,8285,8680,5920
2023-09-13,7100,8285,8680,5920
2023-09-12,7100,8285,8680,5920
2023-09-11,7100,8285,8680,5920
2023-09-10,7100,8285,8680,5920
2023-09-09,7100,8285,8680,5920
2023-09-07,7100,8285,8680,5920
2023-09-06,7100,8285,8680,5920
2023-09-05,7100,8285,8680,5920
2023-07-09,6555,7645,8010,5460
2023-04-18,6905,8055,8440,5755
2023-04-12,6815,7950,8330,5680
2023-04-05,6955,8115,8500,5795
2023-03-27,6850,7990,8370,5705
2023-03-20,6930,8085,8470,5770
2023-03-01,6395,7460,7810,5330
2023-02-08,6470,7550,7910,5390
2023-01-31,6555,7645,8010,5460
2023-01-14,6555,7645,8010,5460
2023-01-02,6200,7235,7580,5170
2022-12-10,6120,7140,7480,5100
2022-11-19,5910,6890,7220,4860
2022-08-22,5840,6815,7140,4820
2022-08-21,5755,6715,7035,4740
2022-08-16,5915,6900,7230,4885
2022-08-15,5915,6900,7230,4885
2022-08-10,5915,6900,7230,4885
2022-07-20,5420,6320,6620,4520
2022-06-18,5580,6510,6820,4650
2022-06-16,5580,6510,6820,4650
2022-06-15,5580,6510,6820,4650
2022-06-14,5580,6510,6820,4650
2022-06-12,5580,6510,6820,4650
2022-06-11,5580,6510,6820,4650
2021-12-20,4100,4780,5000,3050
2020-09-11,6075,6345,6345,5325
2020-09-10,5325,6075,6345,4440
2020-08-29,5925,6195,6195,5175
2020-08-21,5175,5925,6195,4290
2020-08-13,5300,6050,6320,4415
2020-08-06,5600,6350,6620,4335
2020-07-24,5220,5970,6240,4335
2020-06-23,4970,5720,5990,4085
2020-05-29,4870,5300,5500,3775
2020-03-19,4545,4975,5175,3450
2020-02-19,4645,5075,5275,3550
2020-01-05,4545,4975,5175,3450
2019-12-19,4445,4875,5075,3350
2019-11-24,4345,4775,4975,3150
2019-09-11,4245,4675,4875,2500
2019-08-27,4345,4775,4975,2600
2019-08-19,4245,4675,4875,2500
2019-08-08,4145,4575,4775,2400
2019-08-06,4045,4475,4675,2400
2019-07-24,3945,4375,4575,2300
2019-07-04,3845,4275,4475,2300
2019-06-18,3671,4100,4300,2300
2019-06-14,3770,4200,4400,2365
2019-01-29,3670,4100,4300,2365
2019-01-02,3570,4000,4200,2365
2018-08-06,3440,3875,4070,2365
2018-07-20,3540,3975,4170,2365
2018-06-21,3640,4075,4270,2365
2018-03-19,3740,4175,4370,2265
2018-01-26,3830,4280,4480,2350
2018-01-10,3700,4150,4350,2275
2017-12-25,3590,4040,4230,2200
2017-12-12,3470,3920,4110,2125
2017-11-26,3550,4030,4220,2225
2017-09-26,3450,3920,4100,2175
2017-09-20,3525,4010,4200,2250
2017-09-11,3600,4100,4300,2300
2017-08-13,3500,3985,4170,2250
2017-07-28,3400,3875,4040,2200
2017-05-08,3315,3760,3935,2130
2017-02-09,3385,3855,4035,2200
2017-01-14,3300,3775,3950,2150
2016-12-07,3175,3660,3840,2060
2016-11-21,3250,3760,3935,2145
2016-11-14,3300,3830,4020,2230
2016-06-26,3395,3960,4145,2360
2016-06-18,3310,3860,4040,2300
2016-05-31,3225,3760,3935,2240
2016-05-06,3315,3885,4065,2365
2016-03-07,3210,3780,3960,2260
2016-02-13,3105,3675,3855,2155
2016-02-06,3000,3570,3750,2050
2016-01-13,2895,3465,3645,1945
2015-12-05,2790,3360,3540,1840
2015-11-09,2895,3465,3645,1945
2015-10-17,3000,3570,3750,2050
2015-09-09,2870,3440,3620,1935
2015-08-23,2960,3530,3710,1980
2015-08-06,2830,3400,3580,1875
2015-07-23,2935,3505,3685,1960
2015-03-11,3067,3637,3817,2065
2015-01-22,3195,3765,3945,2190
2014-11-07,3067,3637,3817,2065
2014-09-16,3170,3740,3920,2150
2014-08-25,3297,3862,4045,2250
2014-06-23,3400,3965,4150,2350
2014-06-01,3310,3865,4050,2250
2014-02-16,3400,3965,4150,2350
2013-12-20,3295,3845,4025,2250
2013-11-15,3400,3965,4150,2350
2013-09-14,3480,4060,4250,2430
2013-08-18,3560,4155,4350,2500
2013-08-02,3480,4060,4250,2430
2013-06-28,3415,3985,4170,2370
2013-06-21,3500,4085,4275,2450
2013-05-19,3585,4180,4380,2530
2013-05-14,3675,4285,4485,2600
2013-04-29,3740,4360,4565,2670
2013-04-24,3675,4285,4485,2600
2013-04-17,3600,4200,4400,2530
2013-04-15,3860,4500,4710,2770
2013-03-15,3945,4600,4815,2870
2013-02-22,4020,4680,4900,2950
2013-01-01,5250,6000,6270,4365
2012-10-21,4175,4870,5100,3160
2012-09-16,4260,4970,5200,3220
2012-09-09,4175,4870,5100,3160
2012-08-26,4070,4750,4970,3090
2012-05-20,3960,4620,4840,3000
2012-05-18,3880,4530,4740,2900
2012-05-11,3960,4620,4840,3000
2012-04-06,4030,4705,4925,3060
2012-03-30,4140,4830,5055,3180
2012-03-16,4030,4705,4925,3060
2012-03-04,4140,4830,5055,3180
2012-02-27,4220,4925,5155,3250
2012-01-31,4140,4830,5055,3180
2012-01-24,4055,4730,4950,3100
2012-01-14,3960,4620,4840,3010
2011-12-20,3855,4500,4710,2900
2011-11-23,3940,4595,4810,3000
2011-11-16,4030,4700,4920,3100
2011-10-14,3940,4595,4810,3000
2011-09-25,4060,4700,4920,3100
2011-09-07,4270,4905,5135,3220
2011-08-26,4155,4735,4955,3150
2011-08-24,4270,4905,5135,3220
2011-08-21,4155,4735,4955,3150
2011-08-19,3990,4530,4740,3070
2011-08-11,3900,4410,4615,3010
2011-08-06,3775,4265,4465,2950
2011-07-29,3700,4155,4350,2880
2011-07-19,3615,4060,4250,2800
2011-05-07,3535,3965,4150,2700
2011-05-04,3610,4050,4240,2750
2011-04-27,3535,3965,4150,2700
2011-04-22,3425,3845,4025,2650
2011-04-12,3340,3750,3925,2615
2011-04-06,3235,3630,3800,2550
2011-03-02,3160,3545,3715,2500
2011-02-23,3075,3450,3615,2400
2011-01-31,3000,3375,3535,2360
2010-12-03,3075,3450,3615,2400
2010-11-11,3000,3375,3535,2360
2010-10-09,2940,3300,3455,2320
2010-10-04,2895,3250,3400,2270
2010-09-22,2840,3190,3340,2230
2010-09-03,2775,3115,3260,2160
2010-07-10,2715,3050,3190,2110
2010-06-23,2800,3140,3290,2180
2010-06-04,2715,3050,3190,2110
2010-05-14,2635,2955,3095,2055
2010-04-28,2550,2860,2995,1990
2010-03-06,2475,2775,2905,1970
2009-12-24,2400,2690,2820,1900
2009-12-12,2480,2785,2915,1970
2009-12-04,2565,2875,3010,2015
2009-11-25,2480,2785,2915,1970
2009-11-18,2400,2690,2820,1900
2009-11-09,2325,2610,2730,1820
2009-10-10,2240,2515,2630,1750
2009-09-07,2125,2400,2515,1650
2009-07-01,2045,2315,2425,1610
2009-06-22,1980,2240,2345,1550
2009-06-03,2040,2325,2430,1600
2009-02-12,1980,2240,2345,1550
2009-02-11,1910,2160,2260,1500
2008-12-21,1825,2060,2160,1450
2008-11-04,1740,1970,2060,1415
2008-10-25,1825,2060,2160,1500
2008-09-25,1915,2145,2245,1550
2008-09-05,1840,2060,2160,1550
2008-08-21,1920,2155,2255,1600
2008-08-18,1954,2198,2303,1600
2008-07-16,2005,2250,2355,1600
2008-05-21,1920,2155,2255,1600
2008-05-06,1840,2060,2160,1550
2008-04-05,1920,2155,2255,1600
2008-03-06,2005,2250,2355,1625
2008-02-27,1920,2155,2255,1600
2008-01-31,1855,2080,2180,1558
2008-01-08,1755,1970,2060,1558
2007-11-08,1690,1896,1986,1558
2007-10-25,1650,1855,1945,1543
2007-09-27,1550,1735,1820,1457
2007-09-03,1505,1690,1770,1457
2007-08-02,1457,1641,1718,1457
2007-07-26,1500,1690,1770,1500
2007-04-19,1398,1632,1709,1457
2007-03-07,1326,1547,1620,1372
